location,country,date,current_infected,cumulative_infected,new_infected,deaths,recovered,recovery_rate,mortality_rate,population_impact_percentage
New York,International,2024-04-07,488946,586092,174907,2732,94414,16.10907502576387,0.46613842195423244,6.864977944156431
New York,International,2024-04-08,40492,45069,9889,943,3634,8.063191994497327,2.0923472897113315,2.722192491728144
New York,International,2024-04-09,19246,72922,2978,2871,50805,69.67033268423796,3.937083459038425,6.7922306910616435
New York,International,2024-04-10,35272,150803,15050,5901,109630,72.69749275544916,3.9130521276101935,2.535488994128644
New York,International,2024-04-11,828,205294,258,8510,195956,95.45140140481456,4.145274581819244,2.468579701501152
New York,India,2024-04-12,98795,104610,15349,1570,4245,4.057929452251219,1.5008125418220055,2.274952879704119
New York,India,2024-04-13,185271,721855,159023,8135,528449,73.20708452528555,1.1269576299949435,8.079249405602598
New York,International,2024-04-14,147156,170027,27307,8391,14480,8.516294470878154,4.935098543172555,3.7116805283196634
New York,India,2024-04-15,214515,532488,176834,3148,314825,59.12339808596626,0.5911870314448401,7.3285594548805175
New York,India,2024-04-16,118311,556248,74358,9693,428244,76.98796220390905,1.7425680631660698,6.00066279918738
New York,India,2024-04-17,563259,834892,398095,29951,241682,28.947696228973328,3.587410108133746,9.32629313773064
New York,International,2024-04-18,179509,828900,38717,25526,623865,75.26420557365184,3.079502955724454,9.995232097030806
New York,International,2024-04-19,303520,477581,51706,23183,150878,31.592127827530824,4.85425508971253,6.381594727224744
New York,India,2024-04-20,1423,167129,1055,3008,162698,97.3487545548648,1.7998073344542238,3.771116903067072
New York,International,2024-04-21,435718,510274,10425,24163,50393,9.87567463754767,4.735299074614815,5.550892408803209
New York,International,2024-04-22,542162,552169,350400,24717,-14710,-2.6640394516896095,4.476346915527674,5.7445755085280314
New York,International,2024-04-23,28146,32830,2871,1063,3621,11.029546146816935,3.2378921717940905,0.6107701303453781
New York,India,2024-04-24,132459,207744,59825,5264,70021,33.705425908810845,2.53388786198398,2.40566621103403
New York,India,2024-04-25,75034,162822,54883,172,87616,53.810910073577276,0.1056368304037538,2.456449549186245
New York,International,2024-04-26,105444,453090,46103,17124,330522,72.94842084354102,3.779381579818579,5.710306757744562
New York,India,2024-04-27,7386,24411,4834,442,16583,67.9324894514768,1.8106591290811518,2.053774550055864
New York,International,2024-04-28,37257,178660,32520,701,140702,78.75405798723834,0.39236538676816296,5.112171035971475
New York,International,2024-04-29,22764,86509,13678,2262,61483,71.07121802355825,2.6147568461084973,6.4213019561036475
New York,International,2024-04-30,96446,145353,27574,3708,45199,31.096021409946818,2.551030938473922,2.0157727669796746
New York,India,2024-05-01,53782,136172,10353,2275,80115,58.83368093293776,1.6706811973092854,7.366167301556733
New York,India,2024-05-02,298809,911671,185907,39805,573057,62.857873070438785,4.366158405828418,9.164354562937255
New York,International,2024-05-03,526449,748341,219031,23774,198118,26.474294472706962,3.1768939560975546,8.306808245789906
New York,International,2024-05-04,21643,754915,4458,21848,711424,94.23895405442997,2.8941006603392436,8.11315285858558
New York,India,2024-05-05,49460,123090,35522,59,73571,59.77008692826388,0.04793240718173694,7.532204165628942
New York,International,2024-05-06,168241,387629,115267,12156,207232,53.461428324506166,3.1359882774508616,8.407179836423616
New York,International,2024-05-07,92022,121340,23183,5058,24260,19.993406955661776,4.168452282841602,8.512142816555397
New York,International,2024-05-08,63347,258544,55855,8342,186855,72.27203106627886,3.2265301070610803,6.58229523889538
New York,International,2024-05-09,3079,264826,52,7634,254113,95.95470233285252,2.8826474741906005,7.521532106092042
New York,India,2024-05-10,73665,191918,3316,4313,113940,59.36910555549766,2.24731395700247,5.8875717317531535
New York,International,2024-05-11,444527,535794,263450,12824,78443,14.640514824727413,2.3934571869039223,6.9920170315854016
New York,India,2024-05-12,36567,211422,22252,9054,165801,78.42182932712774,4.28243039986378,3.722603677986383
New York,India,2024-05-13,196474,212450,65833,1153,14823,6.977171099082137,0.5427159331607436,7.648491254546973
New York,India,2024-05-14,249147,813458,236643,36149,528162,64.92799874117657,4.443868030064245,9.624408618472884
New York,India,2024-05-15,382087,542385,270993,3557,156741,28.89847617467297,0.6558072218073877,7.663795913574748
New York,India,2024-05-16,97618,143147,40849,6598,38931,27.19651826444145,4.609247836140471,1.5997477899772665
New York,India,2024-05-17,203932,209425,147980,1365,4128,1.9711113763877284,0.651784648442163,9.979695126687446
New York,International,2024-05-18,639,87145,193,2886,83620,95.95501749956968,3.3117218429055026,4.902120717781403
New York,International,2024-05-19,4229,924221,3371,11447,908545,98.30386887984584,1.2385565790000443,9.353317118721582
New York,India,2024-05-20,17721,25732,17050,403,7608,29.566298771957094,1.5661433234882636,0.7026976248317808
New York,International,2024-05-21,45259,199110,33981,7213,146638,73.64672793933002,3.622620661945658,5.113248529404967
New York,India,2024-05-22,325534,363598,94349,4872,33192,9.128763084505415,1.3399413638138824,5.852072757308734
New York,International,2024-05-23,9880,41479,2185,2006,29593,71.34453578919452,4.8361821644687675,0.4680670800982739
New York,India,2024-05-24,66064,83853,45746,2968,14821,17.674978832003628,3.539527506469655,8.67201413120593
New York,India,2024-05-25,126662,470691,69741,7861,336168,71.42010363486874,1.670097792394586,9.465427403288208
New York,India,2024-05-26,155984,498652,14589,5501,337167,67.61569190537689,1.1031741575286973,5.280773127924985
New York,India,2024-05-27,315,2113,272,88,1710,80.92759110269758,4.164694746805489,0.1869689788998473
New York,International,2024-05-28,108517,476120,35062,361,367242,77.13223557086448,0.07582122154078805,5.0889171012710746
New York,India,2024-05-29,29825,177212,16211,8007,139380,78.65155858519739,4.518317043992506,6.841763279438148
New York,International,2024-05-30,3904,153606,2616,5337,144365,93.98395895993646,3.474473653372915,3.759780922990162
New York,International,2024-05-31,7278,22357,5083,468,14611,65.35313324685781,2.0933041105693966,0.42141426075509253
New York,India,2024-06-01,23588,56266,15477,1327,31351,55.71926207656489,2.3584402658799277,1.3005940348718972
New York,International,2024-06-02,144352,157361,4811,7807,5202,3.3057746201409497,4.961203856101575,2.2169575606633978
New York,International,2024-06-03,74582,255060,8253,9904,170574,66.87602916960715,3.8830079197051677,2.84250540784815
New York,International,2024-06-04,211877,401053,149244,12988,176188,43.931350719231624,3.2384747153119413,7.9573092214415
New York,International,2024-06-05,260206,638400,251834,29198,348996,54.6672932330827,4.573621553884712,9.082267072713051
New York,International,2024-06-06,68618,298472,9138,8348,221506,74.21332654319333,2.7969122731780534,9.429483279025789
New York,India,2024-06-07,2826,104357,626,778,100753,96.54647028948705,0.7455177898943052,9.211915455559792
New York,International,2024-06-08,27239,28689,14459,1038,412,1.4360904876433478,3.618111471295619,3.419187446889909
New York,India,2024-06-09,53951,78247,17802,443,23853,30.48423581734763,0.5661558909606758,2.9248393986673435
New York,India,2024-06-10,74384,82929,51129,3626,4919,5.9315800262875475,4.3724149573731745,3.1843973782643538
New York,India,2024-06-11,23899,305453,7397,9238,272316,89.15152249282214,3.0243605399193982,4.8634009941015615
New York,India,2024-06-12,41917,106016,21146,4615,59484,56.108511922728646,4.353116510715363,5.627167260349373
New York,India,2024-06-13,25788,39619,13991,555,13276,33.509174890835205,1.4008430298594108,1.1341308136406003
New York,International,2024-06-14,34805,42890,33690,816,7269,16.948006528328282,1.902541384938214,3.9357723069920754
New York,India,2024-06-15,2778,64422,1210,942,60702,94.22557511409147,1.462233398528453,5.110168221007518
New York,International,2024-06-16,10967,42040,6189,1525,29548,70.28544243577545,3.627497621313035,1.0669655388404389
New York,India,2024-06-17,110348,137724,18521,3666,23710,17.215590601492842,2.6618454299904157,7.183024105094833
New York,India,2024-06-18,99413,334820,35210,1598,233809,69.83125261334449,0.47727136969117734,6.826019280110009
New York,India,2024-06-19,94749,166469,56141,4675,67045,40.27476587232457,2.8083306801867014,3.983204734411942
New York,International,2024-06-20,85021,99841,59120,1325,13495,13.516491221041457,1.3271101050670566,2.320122586018427
New York,International,2024-06-21,8331,246988,1115,1463,237194,96.03462516397558,0.5923364697880059,4.325079676391272
New York,India,2024-06-22,64406,75439,56718,1284,9749,12.923023900104722,1.7020374077068892,5.031795982780678
New York,International,2024-06-23,238803,355766,4812,5460,111503,31.34166840001574,1.5347166395889433,7.804509717850321
New York,International,2024-06-24,107423,495806,55208,18015,370368,74.7001851530639,3.63347761019431,5.567145838142864
New York,International,2024-06-25,266980,355490,100527,10137,78373,22.046471068103184,2.851557005822949,9.123561651218628
New York,India,2024-06-26,77809,105126,47328,3849,23468,22.323687765158002,3.6613207008732376,4.745357831560245
New York,International,2024-06-27,49817,79998,36752,1257,28924,36.15590389759744,1.5712892822320559,1.0923059865872395
New York,India,2024-06-28,453639,709198,446131,23832,231727,32.67451402852236,3.360415568007806,9.973153129816872
Los Angeles,International,2024-01-01,37910,51220,6829,250,13060,25.4978524014057,0.48809058961343227,2.912300632211455
Los Angeles,India,2024-01-02,4929,15966,1213,505,10532,65.96517599899786,3.16297131404234,1.5283529283379953
Los Angeles,International,2024-01-03,3927,46870,1045,746,42197,90.02986985278429,1.5916364412203967,6.980571462613656
Los Angeles,India,2024-01-04,112511,509951,98112,21363,376077,73.74767379610982,4.189226023676785,7.268150100865962
Los Angeles,International,2024-01-05,219295,407528,99768,18546,169687,41.63812057085648,4.550852947527532,5.282581175703818
Los Angeles,International,2024-01-06,15118,42824,10951,1123,26583,62.07500467027835,2.622361292733047,7.83944729919471
Los Angeles,International,2024-01-07,73130,493970,21604,14808,406032,82.19770431402716,2.9977528999736824,6.650563427138451
Los Angeles,International,2024-01-08,169758,206736,147886,1250,35728,17.281944121971986,0.604635864097206,9.772848031494574
Los Angeles,International,2024-01-09,25485,51541,20511,838,25218,48.92803787276149,1.6258900681011232,1.82566543930772
Los Angeles,International,2024-01-10,42921,406479,41386,9585,353973,87.08272752097895,2.358055397695822,9.301830118067262
Los Angeles,International,2024-01-11,6420,303102,875,7039,289643,95.55958060322928,2.322320538960482,3.942826658951907
Los Angeles,India,2024-01-12,11638,38587,7956,227,26722,69.2513022520538,0.5882810272889833,4.768336476223194
Los Angeles,India,2024-01-13,130,18727,27,552,18045,96.35819939125328,2.947615741976825,2.032556503920326
Los Angeles,India,2024-01-14,285990,299733,252457,8501,5242,1.7488898452956463,2.8361908765467936,4.89053632850735
Los Angeles,India,2024-01-15,12619,227211,9036,11031,203561,89.59117296257664,4.854958606757595,2.6426281339273068
Los Angeles,International,2024-01-16,64100,383931,13676,2911,316920,82.54608249919907,0.7582091573746323,9.317836087281101
Los Angeles,International,2024-01-17,267197,433856,24202,3122,163537,37.693843118454055,0.7195935978757928,8.739819464840767
Los Angeles,India,2024-01-18,142352,235837,50907,8795,84690,35.9103957394302,3.7292706403151326,5.145435004675545
Los Angeles,International,2024-01-19,169365,276524,77576,13731,93428,33.7865791034413,4.965572608525842,4.213532753526375
Los Angeles,International,2024-01-20,113783,119690,30114,1687,4220,3.5257749185395606,1.4094744757289663,4.026769319173532
Los Angeles,India,2024-01-21,397622,545571,182830,4812,143137,26.23618190849587,0.8820116905040775,7.479718958201833
Los Angeles,International,2024-01-22,31232,237104,5032,11105,194767,82.14412241041906,4.683598758350766,2.8413641961076244
Los Angeles,India,2024-01-23,106473,523432,4279,11448,405511,77.47157223860978,2.187103577924162,5.295039810013366
Los Angeles,International,2024-01-24,542144,569344,281325,17408,9792,1.7198741007194245,3.0575539568345325,8.248983264246979
Los Angeles,International,2024-01-25,89612,119713,56088,2808,27293,22.79869354205475,2.345609917051615,1.324855474185333
Los Angeles,India,2024-01-26,334242,389439,64834,4316,50881,13.06520404992823,1.1082608572844528,4.483481338255382
Los Angeles,International,2024-01-27,139574,374870,125326,665,234631,62.589964521033956,0.1773948302078054,7.485095999196521
Los Angeles,India,2024-01-28,88212,264456,80290,12016,164228,62.10031158302326,4.543666999425235,4.5738052210241875
Los Angeles,International,2024-01-29,556868,643672,99796,27567,59237,9.202979157086217,4.282771349382916,7.567284396490753
Los Angeles,India,2024-01-30,7137,8663,2617,33,1493,17.23421447535496,0.38093039362807346,1.050073334222233
Los Angeles,International,2024-01-31,176704,242276,103805,1712,63860,26.358368142118906,0.7066321055325332,6.257090931536305
Los Angeles,India,2024-02-01,415643,626263,205178,6809,203811,32.5439950947126,1.0872428995485923,6.691166422655622
Los Angeles,India,2024-02-02,35590,102417,10453,2514,64313,62.7952390716385,2.454670611324292,7.653906543676449
Los Angeles,India,2024-02-03,6157,44575,5042,1404,37014,83.03757711721818,3.1497476163768927,5.313277770890747
Los Angeles,International,2024-02-04,105299,146374,24988,795,40280,27.518548376077717,0.5431292442646918,4.427136026441714
Los Angeles,India,2024-02-05,167908,494306,50845,10734,315664,63.860038114042716,2.171529376540038,5.249385251668489
Los Angeles,International,2024-02-06,223555,316281,56440,11148,81578,25.792886705176727,3.5247137829967654,5.332156131134076
Los Angeles,International,2024-02-07,248467,381023,195047,15981,116575,30.595265902583307,4.194234993688045,6.642004990442017
Los Angeles,International,2024-02-08,53629,69847,26014,2546,13672,19.574212206680315,3.6451100262001233,1.200795774117605
Los Angeles,International,2024-02-09,45232,49848,36078,1786,2830,5.677258866955545,3.5828919916546296,2.0384370183564835
Los Angeles,International,2024-02-10,282380,548992,131814,12739,253873,46.24347895779902,2.320434541851247,7.374182061671358
Los Angeles,International,2024-02-11,215354,405920,5735,17933,172633,42.52882341348049,4.417865589278676,5.558922912124045
Los Angeles,International,2024-02-12,11424,30717,5851,887,18406,59.92121626460918,2.8876517889116773,0.9169924367603003
Los Angeles,India,2024-02-13,25707,69387,11809,1420,42260,60.90478043437532,2.046492858892876,4.325346980884493
Los Angeles,International,2024-02-14,41596,210681,17056,7404,161681,76.74208875029073,3.5143178549560714,2.1680830626672645
Los Angeles,India,2024-02-15,16371,134103,15819,5013,112719,84.05404800787454,3.738171405561397,1.912875805358329
Los Angeles,International,2024-02-16,2174,8409,957,55,6180,73.49268640742062,0.6540611249851349,0.6649701716317351
Los Angeles,International,2024-02-17,627809,759094,279412,35707,95578,12.591062503458069,4.703897014072038,9.462693990811479
Los Angeles,India,2024-02-18,10581,40192,808,1669,27942,69.52129777070064,4.1525676751592355,0.9712355560367055
Los Angeles,International,2024-02-19,41184,49320,39547,121,8015,16.25101378751014,0.24533657745336576,3.965883112591036
Los Angeles,India,2024-02-20,549713,653404,545889,30996,72695,11.12558233497193,4.743772612350092,8.871970001139202
Los Angeles,International,2024-02-21,356317,527207,211867,12568,158322,30.03032964281582,2.3838833702890896,8.638653462854611
Los Angeles,India,2024-02-22,168,8172,163,280,7724,94.51786588350465,3.4263338228095934,1.4940381078442486
Los Angeles,International,2024-02-23,4201,103923,1432,2989,96733,93.08141604842046,2.8761679320265965,4.606581299025518
Los Angeles,International,2024-02-24,26782,133292,16082,5218,101292,75.9925576928848,3.914713561203973,4.659194264058293
Los Angeles,India,2024-02-25,72170,81245,63228,765,8310,10.228321742876485,0.9415964059326728,6.513570305591434
Los Angeles,India,2024-02-26,129898,374334,11510,9885,234551,62.658214321969155,2.640689865200596,6.477133280132112
Los Angeles,International,2024-02-27,51019,207204,35585,3682,152503,73.60041311943785,1.7769927221482211,4.9154124145928
Los Angeles,International,2024-02-28,139354,287455,104371,4973,143128,49.79144561757492,1.730009914595328,3.0622164010288526
Los Angeles,India,2024-02-29,90455,92565,63529,941,1169,1.262896343110247,1.0165829417166314,1.5777992321428205
Los Angeles,International,2024-03-01,49541,127402,11858,1985,75876,59.556364892230896,1.5580603130249133,4.430004078738783
Los Angeles,International,2024-03-02,50859,62730,3916,331,11540,18.396301610074925,0.5276582177586482,1.7028477706212748
Los Angeles,International,2024-03-03,268764,305140,193185,1429,34947,11.452775775054073,0.4683096283673068,6.257110352673492
Los Angeles,India,2024-03-04,84319,306819,38733,8197,214303,69.84671744579052,2.6716076905276402,5.4809983874214945
Los Angeles,International,2024-03-05,13985,262972,9449,4140,244847,93.10763123070137,1.5743120940632465,4.6052487563191
Los Angeles,India,2024-03-06,83067,173549,71051,1454,89028,51.29848054439956,0.8378037326633977,9.812068546358121
Los Angeles,India,2024-03-07,73684,108220,17323,3160,31376,28.9927924598041,2.9199778229532436,8.746131844987703
Los Angeles,India,2024-03-08,2889,4330,1615,106,1335,30.831408775981522,2.4480369515011544,0.12177914550414175
Los Angeles,India,2024-03-09,90788,338699,17305,11550,236361,69.78497131671485,3.410107499579272,3.820622647143194
Los Angeles,India,2024-03-10,5343,8403,3093,130,2930,34.868499345471854,1.5470665238605261,0.2179760317156034
Los Angeles,International,2024-03-11,29370,428648,6228,19424,379854,88.61676713760474,4.531457046341054,4.833160200191749
Los Angeles,International,2024-03-12,180631,391224,133801,19434,191159,48.86177739606977,4.967486657260291,9.025938984980993
Los Angeles,International,2024-03-13,100160,145824,55684,3312,42352,29.043230195303927,2.2712310730743908,2.4993221404524983
Los Angeles,India,2024-03-14,385366,431915,167704,593,45956,10.640056492596923,0.1372955326858294,7.216190838980445
Los Angeles,International,2024-03-15,36308,67259,26381,2542,28409,42.23821347328982,3.7794198545919504,1.937884211569623
Los Angeles,India,2024-03-16,6677,16084,3250,778,8629,53.649589654314845,4.837105197712012,0.7271412102443545
Los Angeles,International,2024-03-17,9625,11060,7588,230,1205,10.89511754068716,2.0795660036166366,0.1754275769613152
Los Angeles,India,2024-03-18,2104,107512,1170,2783,102625,95.45446089738819,2.588548255078503,1.2220395871626737
Los Angeles,International,2024-03-19,47168,197796,2554,6816,143812,72.7072337155453,3.445974640538737,4.522216351503576
Los Angeles,India,2024-03-20,95873,345365,54328,3793,245699,71.14183544945203,1.0982583643391775,7.9042341831208045
Los Angeles,International,2024-03-21,3634,76827,82,76,73117,95.1709685397061,0.09892355552084553,9.574579452297217
Los Angeles,India,2024-03-22,254114,418210,76450,12011,152085,36.36570144185936,2.872002104206021,9.453754680706053
